,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Temperature (F),Wind Speed (mph)
373,Yarada,IN,1578327419,17.65,83.27,75,78,75.2,9.17
374,Ystad,SE,1578327421,55.43,13.82,90,100,44.6,11.41
375,La Baule-Escoublac,FR,1578327423,47.28,-2.4,90,81,52.0,9.17
376,Victoria,BN,1578327398,5.28,115.24,75,78,82.4,11.41
377,Tomter,NO,1578327425,59.65,11.0,75,93,43.0,11.41
378,Nishihara,JP,1578327426,35.74,139.53,75,55,48.0,12.21
379,Dunedin,NZ,1578327378,-45.87,170.5,75,82,52.43,31.9
380,Wamba,CD,1578327429,2.14,27.99,100,43,85.37,0.94
381,Sayat,TM,1578327430,38.78,63.88,0,45,32.0,4.7
382,Bustamante,MX,1578327432,26.53,-100.51,68,39,61.03,2.91
383,Keningau,MY,1578327434,5.33,116.16,75,83,80.6,3.36
384,Vila do Maio,CV,1578327436,15.13,-23.22,94,42,80.6,27.51
385,Emba,CY,1578327437,34.81,32.42,75,72,60.8,24.16
386,Veraval,FR,1578327438,49.65,0.71,8,81,44.01,6.93
387,Vostok,RU,1578327440,46.45,135.83,100,84,3.02,2.57
388,Fare,PF,1578327441,-16.7,-151.02,20,76,81.5,13.53
389,San Alberto,PY,1578327443,-24.98,-54.91,0,59,89.6,9.17
390,Pershotravneve,UA,1578327444,51.38,28.88,72,86,27.34,4.12
391,Christchurch,NZ,1578327445,-43.53,172.64,98,71,57.99,9.17
392,Dibrugarh,IN,1578327306,27.48,94.9,0,83,56.79,3.04
393,Dong Hoi,VN,1578327448,17.48,106.6,16,93,68.18,2.59
394,Japura,ID,1578327449,-0.42,102.29,78,89,75.6,2.35
395,Fairbanks,US,1578327407,64.84,-147.72,20,73,-17.0,0.31
396,San Quintin,PH,1578327451,17.54,120.52,11,87,70.25,4.25
397,Bereda,ES,1578327452,43.27,-7.54,75,76,55.0,4.7
398,Zemetchino,RU,1578327453,53.5,42.62,12,95,23.2,3.29
399,Havoysund,NO,1578327455,71.0,24.66,75,86,33.8,11.41
400,Anito,PH,1578327456,12.45,125.29,2,81,81.01,22.08
401,Norman Wells,CA,1578327457,65.28,-126.83,20,72,-41.8,2.24
402,Port Hardy,CA,1578327458,50.7,-127.42,90,86,39.2,17.22
403,Pointe Michel,DM,1578327459,15.25,-61.38,20,66,84.2,2.24
404,Lazaro Cardenas,MX,1578327461,28.39,-105.62,75,48,51.01,3.49
405,Burns Lake,CA,1578327462,54.23,-125.76,24,96,5.58,1.79
406,Nanticoke,US,1578327464,41.21,-76.0,20,69,37.99,19.46
407,Sungaipenuh,ID,1578327465,-2.08,101.38,96,98,62.92,2.37
408,Santa Marta,CO,1578327305,11.24,-74.21,20,70,84.2,6.93
409,Isiolo,KE,1578327467,0.35,37.58,92,57,79.95,14.27
410,Amos,CA,1578327284,48.57,-78.12,90,92,12.2,16.11
411,Hof,DE,1578327363,50.32,11.92,0,87,36.0,5.82
412,Mapastepec,MX,1578327471,15.44,-92.9,0,47,78.17,5.06
413,Cumpas,MX,1578327472,30.0,-109.78,0,43,50.2,3.53
414,Manitouwadge,CA,1578327473,49.12,-85.84,75,72,14.0,10.29
415,Tonantins,BR,1578327476,-2.86,-67.77,26,56,89.02,4.81
416,Andilamena,MG,1578327477,-17.01,48.57,100,85,72.09,9.91
417,Cam Ranh,VN,1578327478,11.92,109.15,75,83,77.0,8.05
418,Alofi,NU,1578327306,-19.06,-169.92,75,100,75.2,4.7
419,Bonavista,CA,1578327481,48.65,-53.11,100,83,29.28,31.14
420,Giovinazzo,IT,1578327482,41.19,16.67,20,49,48.0,19.46
421,Kieta,PG,1578327483,-6.22,155.63,23,79,82.09,6.24
422,Lima Duarte,BR,1578327484,-21.84,-43.79,75,57,82.0,10.29
423,Merrill,US,1578327486,42.03,-121.6,90,92,30.0,2.13
424,Muttupet,IN,1578327487,10.4,79.48,0,91,74.91,6.31
425,Seoni Malwa,IN,1578327488,22.45,77.47,0,59,60.73,6.53
426,Nyimba,ZM,1578327489,-14.56,30.81,66,71,81.52,1.07
427,Hambantota,LK,1578327490,6.12,81.12,95,100,77.0,5.82
428,Fortuna,US,1578327492,40.6,-124.16,40,100,39.0,10.29
429,Vardo,US,1578327493,39.62,-77.74,75,45,50.0,21.92
430,Marsh Harbour,BS,1578327494,26.54,-77.06,99,62,69.06,11.39
431,Abaza,RU,1578327495,52.65,90.1,2,78,9.97,6.02
432,Gazli,UZ,1578327496,40.13,63.45,3,50,32.99,5.68
433,Wanaka,NZ,1578327204,-44.7,169.14,11,54,50.0,4.34
434,Aras,ES,1578327499,42.56,-2.36,0,53,51.8,1.12
435,Tyssedal,NO,1578327500,60.12,6.56,100,89,45.0,21.0
436,Riberalta,BO,1578327501,-11.0,-66.08,75,66,87.8,9.17
437,Aberdeen,US,1578327502,46.98,-123.82,90,93,51.01,14.99
438,Butembo,CD,1578327503,0.12,29.29,99,68,72.0,4.12
439,Aksaray,TR,1578327243,38.37,34.03,75,60,42.8,20.8
440,Pilar,AR,1578327506,-34.46,-58.91,0,39,81.0,14.99
441,Shar,NG,1578327507,7.3,8.73,99,16,97.68,6.17
442,Ondarroa,ES,1578327508,43.32,-2.42,20,76,55.4,6.93
443,Faya,SA,1578327510,18.39,42.45,0,82,60.8,9.17
444,Tarutyne,UA,1578327511,46.19,29.15,85,70,33.53,17.34
445,Samarai,PG,1578327513,-10.62,150.67,100,93,74.37,5.21
446,Daru,PG,1578327270,-9.07,143.21,99,89,78.06,3.29
447,Nova Olimpia,BR,1578327516,-14.8,-57.29,53,66,83.71,10.36
448,Yagodnoye,RU,1578327517,62.52,149.63,0,89,-14.93,3.76
449,Fayaoue,NC,1578327519,-20.65,166.53,18,80,77.47,16.11
450,San Cristobal,HN,1578327520,14.68,-86.92,98,82,62.58,6.04
451,Chernyshevskiy,RU,1578327521,63.01,112.47,100,93,15.21,12.59
452,Manuk Mangkaw,PH,1578327522,4.8,119.85,47,75,80.78,6.06
453,Myitkyina,MM,1578327524,25.38,97.4,0,74,54.88,3.47
454,Belmonte,PT,1578327525,40.36,-7.35,67,69,55.0,2.08
455,Pocoes,BR,1578327526,-14.53,-40.37,100,88,76.32,5.32
456,Bullhead City,US,1578327527,35.15,-114.57,5,43,54.0,25.28
457,Ambala,IN,1578327529,30.38,76.77,100,81,54.48,2.68
458,Tabuk,PH,1578327530,17.41,121.44,95,90,70.7,3.42
459,Hermon,AM,1578327531,39.88,45.43,8,69,6.33,6.78
460,Verkhoyansk,RU,1578327532,67.55,133.39,0,89,-26.3,1.72
461,Aragarcas,BR,1578327534,-15.9,-52.25,40,62,87.8,9.17
462,Wahpeton,US,1578327535,46.27,-96.61,11,78,17.01,10.29
463,Volodarskiy,RU,1578327537,46.4,48.54,75,86,28.4,8.95
464,Ayolas,PY,1578327538,-27.39,-56.84,14,20,100.74,6.98
465,Katsuura,JP,1578327539,33.93,134.5,75,75,42.8,5.82
466,Argel,AM,1578327540,40.38,44.6,75,74,35.6,2.24
467,Yako,BF,1578327542,12.96,-2.26,94,10,87.66,4.14
468,Ahipara,NZ,1578327543,-35.17,173.16,100,92,55.99,23.22
469,Shumskiy,RU,1578327544,54.83,99.13,99,81,19.56,2.93
470,Luwingu,ZM,1578327545,-10.26,29.92,87,85,75.69,3.33
471,Wieliczka,PL,1578327546,49.98,20.06,75,74,33.8,9.17
472,Cairns,AU,1578327475,-16.92,145.77,40,83,79.0,6.93
473,Salvatierra,MX,1578327336,20.22,-100.88,5,46,50.0,2.24
474,Aksu,KZ,1578327439,52.04,76.93,90,100,15.8,2.24
475,Roald,NO,1578327551,62.58,6.12,40,57,51.8,14.99
476,Bagnes,CH,1578327552,46.08,7.22,0,60,41.0,1.12
477,Zonguldak,TR,1578327553,41.25,31.83,100,96,32.83,2.55
478,Hattiesburg,US,1578327554,31.33,-89.29,1,63,61.0,8.05
479,Santa Isabel do Rio Negro,BR,1578327556,-0.41,-65.02,16,48,91.81,4.88
480,Bady Bassitt,BR,1578327557,-20.92,-49.45,40,55,87.8,9.17
481,Turukhansk,RU,1578327558,65.8,87.96,100,97,11.95,5.06
482,Parrita,CR,1578327309,9.52,-84.33,68,47,82.4,19.46
483,Colares,PT,1578327513,38.8,-9.45,37,76,57.99,5.82
484,Qasigiannguit,GL,1578327561,68.82,-51.19,90,77,-0.4,8.05
485,Aden,YE,1578327563,12.79,45.03,52,69,79.21,7.52
486,Taltal,CL,1578327564,-25.41,-70.49,76,72,65.55,6.64
487,Jamsa,FI,1578327565,61.86,25.19,90,92,33.8,5.82
488,Camalu,MX,1578327410,30.85,-116.07,0,15,55.76,8.14
489,Cortez,US,1578327568,37.35,-108.58,1,79,21.99,4.7
490,Broome,GB,1578327569,52.47,1.45,75,75,46.99,13.87
491,Liepaja,LV,1578327571,56.52,21.02,100,100,41.0,4.7
492,Eyl,SO,1578327572,7.98,49.82,48,82,79.68,17.81
493,Varhaug,NO,1578327574,58.61,5.65,75,87,44.6,19.46
494,Bukachacha,RU,1578327575,52.99,116.91,0,92,-3.5,2.89
495,Morant Bay,JM,1578327543,17.88,-76.41,20,66,84.2,4.7
496,Chiang Klang,TH,1578327578,19.29,100.86,0,75,65.91,2.8
497,Rivera,UY,1578327579,-30.9,-55.54,36,33,92.14,12.73
498,Gayny,RU,1578327580,60.3,54.33,2,96,5.77,5.39
499,Surt,LY,1578327581,31.21,16.59,75,59,53.8,18.99
500,Youkounkoun,GN,1578327582,12.53,-13.12,0,7,94.17,6.82
501,Shuyskoye,RU,1578327583,59.37,41.03,100,95,17.06,5.53
502,Belaya Gora,RU,1578327584,68.54,146.19,0,95,-22.18,2.28
503,Ribas do Rio Pardo,BR,1578327586,-20.45,-53.76,26,59,85.19,14.41
504,Rio Grande,BR,1578327479,-32.03,-52.1,40,35,98.6,11.41
505,Kutum,SD,1578327588,14.2,24.66,67,17,76.8,7.02
506,Montgomery,US,1578327534,32.37,-86.3,1,71,59.0,4.7
507,Abnub,EG,1578327591,27.27,31.15,0,39,64.4,16.11
508,Vila Velha,BR,1578327592,-3.71,-38.6,40,62,87.8,11.41
509,Tazovskiy,RU,1578327529,67.47,78.7,67,88,7.81,15.61
510,Jacaleapa,HN,1578327595,14.02,-86.67,40,72,66.2,13.87
511,Bambous Virieux,MU,1578327500,-20.34,57.76,75,88,80.6,2.24
512,Mildura,AU,1578327597,-34.18,142.16,0,77,64.4,1.12
513,Jining,CN,1578327598,35.41,116.58,100,94,40.03,9.51
514,Fort Nelson,CA,1578327599,58.81,-122.69,20,74,-27.4,1.45
515,Dengzhou,CN,1578327600,32.69,112.08,100,100,33.1,5.28
516,Dzhebariki-Khaya,RU,1578327602,62.22,135.8,100,97,0.59,1.34
517,Yining,CN,1578327603,29.04,114.56,67,89,59.02,2.44
518,Pawayan,IN,1578327604,28.07,80.1,96,58,58.1,5.64
519,Almaznyy,RU,1578327605,48.03,40.04,75,93,35.6,11.18
520,Vale da Amoreira,PT,1578327606,38.65,-9.04,30,67,57.99,3.36
521,Acapulco,MX,1578327592,16.86,-99.88,5,69,82.4,3.36
522,Emerald,AU,1578327609,-23.53,148.16,40,78,77.0,8.05
523,Koumac,NC,1578327610,-20.56,164.28,64,88,71.24,4.34
524,Ulladulla,AU,1578327611,-35.36,150.48,100,100,64.99,4.7
525,Takoradi,GH,1578327612,4.89,-1.75,0,45,83.91,9.53
526,Kluang,MY,1578327613,2.04,103.32,75,94,75.2,4.7
527,Lubao,CD,1578327615,-5.39,25.75,89,77,81.93,1.66
528,Bathsheba,BB,1578327608,13.22,-59.52,20,58,86.0,18.34
529,Zhigansk,RU,1578327618,66.77,123.37,100,96,-3.91,22.93
530,Locri,IT,1578327619,38.24,16.26,40,39,50.0,13.87
531,Buta,CD,1578327620,2.79,24.73,100,26,95.05,3.0
532,Flinders,AU,1578327622,-34.58,150.85,100,100,69.01,4.7
533,Quinta do Anjo,PT,1578327623,38.57,-8.94,30,67,57.99,3.36
534,Bandiagara,ML,1578327624,14.35,-3.61,76,10,84.2,6.93
535,Batagay-Alyta,RU,1578327625,67.8,130.41,49,81,-23.66,5.59
536,Yablonovo,RU,1578327627,50.85,37.36,1,74,28.4,4.47
537,Kabansk,RU,1578327628,52.06,106.65,83,83,-14.8,3.31
538,Novyy Urgal,RU,1578327629,51.07,132.56,5,98,-17.93,0.92
539,Quatre Cocos,MU,1578327534,-20.21,57.76,75,88,80.6,2.24
540,Shieli,KZ,1578327632,44.18,66.74,0,73,26.4,3.0
541,Pathalgaon,IN,1578327633,22.56,83.46,0,45,60.13,3.2
542,Montrose,GB,1578327634,56.71,-2.47,40,93,48.2,17.22
543,Mongoumba,CD,1578327636,3.64,18.59,0,20,96.98,4.41
544,Naisud,PH,1578327637,11.81,122.19,54,83,79.95,16.4
545,Dumalaguing,PH,1578327638,8.35,125.06,100,87,77.0,4.0
546,Llata,PE,1578327639,-9.55,-76.82,0,47,51.6,4.16
547,Ceahlau,RO,1578327641,47.05,25.97,53,75,26.01,5.01
548,Lanivtsi,UA,1578327642,49.87,26.08,74,93,24.44,5.66
549,Mercedes,UY,1578327644,-33.25,-58.03,82,60,73.99,11.01
550,Frontera,MX,1578327645,18.53,-92.64,90,100,71.6,4.18
551,Pierre,US,1578327646,44.37,-100.35,1,86,28.4,13.87
552,Comarapa,BO,1578327648,-17.91,-64.53,97,54,77.04,7.25
553,Tanabe,JP,1578327649,33.73,135.39,28,73,44.01,10.76
554,Gweta,BW,1578327651,-20.21,25.26,24,51,81.32,20.58
555,Norden,DE,1578327652,53.59,7.21,82,80,43.0,10.29
556,Trairi,BR,1578327653,-3.28,-39.27,52,56,87.75,7.07
557,Colorado Springs,US,1578327603,38.83,-104.83,1,22,41.0,9.17
558,Brae,GB,1578327543,60.4,-1.35,100,87,48.2,27.51
559,Taksimo,RU,1578327657,56.36,114.84,0,91,-12.1,0.92
560,Bintulu,MY,1578327659,3.17,113.03,90,100,75.0,4.7
561,Mahon,IE,1578327660,51.89,-8.4,40,81,48.0,11.41
562,Otjiwarongo,NA,1578327661,-20.46,16.65,54,52,75.2,6.26
563,Santa Maria,BR,1578327662,-16.02,-48.01,75,65,78.8,17.22
564,Tura,RU,1578327664,64.27,100.22,100,88,10.6,7.25
565,Dwarka,IN,1578327665,28.58,77.04,75,82,57.2,5.82
566,Alvorada,BR,1578327666,-30.0,-51.08,40,37,100.0,11.41
567,Myurego,RU,1578327667,42.41,47.69,90,86,41.0,4.47
568,Amga,RU,1578327668,60.89,131.98,99,97,6.44,1.77
569,Rawdon,CA,1578327670,46.05,-73.71,90,78,19.99,9.17
570,Hammond,US,1578327630,30.5,-90.46,1,72,66.2,5.82
